"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000003","F07C3.7","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-2 is an ortholog of human SLC7A11 (solute carrier family 7 member 11), SLC7A5, and SLC7A10 (solute carrier family 7 member 10)\; is predicted to have transmembrane transporter activity."
"2","WBGene00000007","T11F9.4","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-6 is an ortholog of human SLC7A11 (solute carrier family 7 member 11), SLC7A6 (solute carrier family 7 member 6), and SLC7A7 (solute carrier family 7 member 7)\; is predicted to have transmembrane transporter activity."
"3","WBGene00000009","F28F9.4","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-8 is an ortholog of human SLC7A11 (solute carrier family 7 member 11), SLC7A6 (solute carrier family 7 member 6), and SLC7A7 (solute carrier family 7 member 7)\; is predicted to have transmembrane transporter activity."
"4","WBGene00000013","C50F2.10","Stress response","Stress response: pathogen","Stress response: pathogen: ASABF","abf-2 is involved in defense response to Gram-negative bacterium and defense response to Gram-positive bacterium\; is expressed in pharyngeal neurons, the excretory cell, and the marginal cell."
"5","WBGene00000029","C03A7.7","Unassigned","Unassigned","Unassigned","abu-6 is involved in pharynx development\; is expressed in the pharyngeal muscle cell."
"6","WBGene00000031","C03A7.14","Unassigned","Unassigned","Unassigned","abu-8 is involved in pharynx development."
"7","WBGene00000033","F35A5.3","Stress response","Stress response: ER","Stress response: ER","abu-10 is involved in endoplasmic reticulum unfolded protein response."
"8","WBGene00000034","T01D1.6","Stress response","Stress response: ER","Stress response: ER","abu-11 is involved in endoplasmic reticulum unfolded protein response."
"9","WBGene00000039","C42D8.5","Development","Development: somatic","Development: somatic","acn-1 is an ortholog of human ACE2\; is predicted to have metallopeptidase activity and peptidyl-dipeptidase activity\; is involved in ecdysis, collagen and cuticulin-based cuticle, nematode male tail tip morphogenesis, and plasma membrane fusion\; is expressed in the epithelial system, the excretory gland cell, the male, and the vulva\; human orthologs of this gene are implicated in Alzheimer's disease."
"10","WBGene00000040","ZK455.1","Metabolism","Metabolism: unassigned","Metabolism: unassigned","aco-1 is an ortholog of human ACO1\; exhibits RNA binding activity and aconitate hydratase activity\; is involved in tricarboxylic acid metabolic process\; localizes to the cytosol\; is expressed in the hypodermis and the intestine."
"11","WBGene00000047","ZC504.2","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neurotransmitter receptor","acr-8 is an ortholog of human CHRNA6 (cholinergic receptor nicotinic alpha 6 subunit), CHRNB3 (cholinergic receptor nicotinic beta 3 subunit), and CHRNA4 (cholinergic receptor nicotinic alpha 4 subunit)\; is predicted to have acetylcholine-gated cation-selective channel activity and transmembrane signaling receptor activity\; is expressed in the head, the muscular system, and the nervous system\; human orthologs of this gene are implicated in autosomal dominant nocturnal frontal lobe epilepsy (multiple), congenital myasthenic syndrome (multiple), and multiple pterygium syndrome."
"12","WBGene00000055","F25G6.3","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neurotransmitter receptor","acr-16 is an ortholog of human CHRFAM7A and CHRNA7 (cholinergic receptor nicotinic alpha 7 subunit)\; exhibits acetylcholine-gated cation-selective channel activity\; is involved in ion transmembrane transport\; localizes to the cell projection\; is expressed in several tissues, including the linker cell, the muscular system, and the nervous system."
"13","WBGene00000082","C02B4.1","Proteolysis general","Proteolysis general: metallopeptidase","Proteolysis general: metallopeptidase","adt-1 is an ortholog of human ADAMTS14 (ADAM metallopeptidase with thrombospondin type 1 motif 14), ADAMTS2 (ADAM metallopeptidase with thrombospondin type 1 motif 2), and ADAMTS3 (ADAM metallopeptidase with thrombospondin type 1 motif 3)\; is predicted to have metal ion binding activity and metalloendopeptidase activity\; is expressed in several tissues, including the muscular system, the nervous system, and the vulva."
"14","WBGene00000083","F08C6.1","Proteolysis general","Proteolysis general: metallopeptidase","Proteolysis general: metallopeptidase","adt-2 is an ortholog of human ADAMTS14 (ADAM metallopeptidase with thrombospondin type 1 motif 14), ADAMTS2 (ADAM metallopeptidase with thrombospondin type 1 motif 2), and ADAMTS3 (ADAM metallopeptidase with thrombospondin type 1 motif 3)\; is predicted to have metal ion binding activity and metalloendopeptidase activity\; is involved in several processes, including collagen fibril organization, determination of adult lifespan, and positive regulation of growth\; is expressed in the socket cell and the vulva."
"15","WBGene00000169","F32A5.5","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-1 is an ortholog of human AQP10 (aquaporin 10) and AQP9 (aquaporin 9)\; exhibits substrate-specific channel activity\; is involved in defense response to Gram-negative bacterium, glycerol transport, and innate immune response\; localizes to the basolateral plasma membrane\; is expressed in the intestine and the pharynx."
"16","WBGene00000171","Y69E1A.7","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-3 is an ortholog of human AQP10 (aquaporin 10) and AQP9 (aquaporin 9)\; exhibits water channel activity\; is involved in glycerol transport and water transport\; is expressed in the excretory cell, the intestine, and vas deferens."
"17","WBGene00000174","C32C4.2","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-6 is an ortholog of human AQP8 (aquaporin 8)\; exhibits water channel activity\; is involved in water transport\; localizes to the neuronal cell body and non-motile cilium\; is expressed in the head, the inner labial sensillum, and the nervous system."
"18","WBGene00000215","T18H9.2","Proteolysis general","Proteolysis general: aspartate","Proteolysis general: aspartate: unassigned","asp-2 is an ortholog of human PGA4, NAPSA, and PGA5\; is predicted to have aspartic-type endopeptidase activity."
"19","WBGene00000220","K08F8.2","Transcription factor","Transcription factor: bZIP","Transcription factor: bZIP","atf-2 is an ortholog of human NFIL3 (nuclear factor, interleukin 3 regulated)\; exhibits RNA polymerase II regulatory region DNA binding activity\; is involved in negative regulation of transcription by RNA polymerase II\; is expressed in several tissues, including egg-laying apparatus, the digestive tract, the excretory system, and the nervous system."
"20","WBGene00000228","W04D2.1","Cytoskeleton","Cytoskeleton: actin function","Cytoskeleton: actin function: actin","atn-1 is an ortholog of human ACTN1 (actinin alpha 1), ACTN4 (actinin alpha 4), and ACTN3 (actinin alpha 3 (gene\/pseudogene))\; is predicted to have actin binding activity\; localizes to the striated muscle dense body and striated muscle thin filament\; is expressed in several tissues, including the body wall, the muscular system, the pharynx, the reproductive system, and the tail\; human orthologs of this gene are implicated in dilated cardiomyopathy 1AA, focal segmental glomerulosclerosis 1, and platelet-type bleeding disorder 15."
"21","WBGene00000255","F45G2.5","Extracellular material","Extracellular material: PGI","Extracellular material: PGI","bli-5 exhibits serine-type endopeptidase activity\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle, protein catabolic process, and vulval development\; is expressed in the excretory cell, the excretory duct, and the vulva."
"22","WBGene00000266","C53B4.7","Stress response","Stress response: pathogen","Stress response: pathogen: unassigned","bre-1 is an ortholog of human GMDS (GDP-mannose 4,6-dehydratase)\; exhibits GDP-mannose 4,6-dehydratase activity\; is involved in GDP-L-fucose biosynthetic process, GDP-mannose metabolic process, and response to toxic substance\; localizes to the endoplasmic reticulum, sarcomere, and striated muscle dense body\; is expressed in the body wall musculature and the nervous system."
"23","WBGene00000399","R05H10.6","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-7 is an ortholog of human FAT1 (FAT atypical cadherin 1) and FAT2 (FAT atypical cadherin 2)\; is predicted to have calcium ion binding activity."
"24","WBGene00000402","C45G7.5","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-10 is an ortholog of human PCDHGA3 (protocadherin gamma subfamily A, 3), PCDHB15 (protocadherin beta 15), and PCDHB2 (protocadherin beta 2)\; is predicted to have calcium ion binding activity\; is expressed in the K cell, the K' cell, the mc1, the mc2, and the seam cell."
"25","WBGene00000417","C48D1.2","Development","Development: apoptosis","Development: apoptosis","ced-3 is an ortholog of human CASP2 (caspase 2)\; exhibits cysteine-type endopeptidase activator activity involved in apoptotic process, cysteine-type endopeptidase activity involved in execution phase of apoptosis, and identical protein binding activity\; is involved in several processes, including actin filament depolymerization, positive regulation of cell death, and positive regulation of macromolecule metabolic process\; localizes to several cellular components, including the cytoplasmic part, membrane, and neuronal cell body\; is expressed in several tissues, including the ABaraapapaa, the ABaraapapaad, the ABaraapppaa, the alimentary system, and the reproductive system."
"26","WBGene00000493","F56H1.1","Transmembrane transport","Transmembrane transport: unassigned","Transmembrane transport: unassigned","che-14 is an ortholog of human DISP1 and DISP2\; localizes to the apical plasma membrane\; is expressed in the epithelial cell, the epithelial system, the excretory system, the rectum, and the vulva."
"27","WBGene00000499","Y60A3A.12","DNA","DNA: repair","DNA: repair","chk-2 is an ortholog of human CHEK2\; is predicted to have ATP binding activity, metal ion binding activity, and protein serine\/threonine kinase activity\; is involved in positive regulation of histone H3-K9 methylation\; human orthologs of this gene are implicated in several diseases, including Li-Fraumeni syndrome, breast cancer, and osteosarcoma."
"28","WBGene00000512","B0285.9","Metabolism","Metabolism: lipid","Metabolism: lipid: phospholipid","ckb-2 is an ortholog of human CHKA and CHKB\; exhibits choline kinase activity\; is involved in CDP-choline pathway\; is expressed in several tissues, including the alimentary system, the excretory gland cell, the head, the hmc, and the reproductive system\; human orthologs of this gene are implicated in megaconial type congenital muscular dystrophy."
"29","WBGene00000517","T05A6.2","Cell cycle","Cell cycle: unassigned","Cell cycle: unassigned","cki-2 is an ortholog of human CDKN1B\; is predicted to have cyclin-dependent protein serine\/threonine kinase inhibitor activity\; is involved in several processes, including cell cycle arrest, gonad development, and regulation of cell cycle process\; is expressed in several tissues, including the P5.pa, the P5.paa, the hyp7 precursor cell, the vulval precursor cell, and the vulval syncytia precursor."
"30","WBGene00000521","C15C8.2","Transcription factor","Transcription factor: bHLH","Transcription factor: bHLH","cky-1 is an ortholog of human NPAS4 (neuronal PAS domain protein 4)\; contributes to sequence-specific DNA binding activity\; is involved in positive regulation of transcription by RNA polymerase II\; localizes to the RNA polymerase II transcription factor complex\; is expressed in the pharyngeal cell."
"31","WBGene00000539","F07B10.1","Lysosome","Lysosome: unassigned","Lysosome: unassigned","cln-3.1 is an ortholog of human cln3\; is involved in determination of adult lifespan and regulation of oviposition\; localizes to the cytoplasm\; is expressed in the alimentary system, the digestive tract, the epithelial system, and the muscle cell\; is used to study neuronal ceroid lipofuscinosis\; human orthologs of this gene are implicated in neuronal ceroid lipofuscinosis 3."
"32","WBGene00000560","Y46E12A.1","Stress response","Stress response: pathogen","Stress response: pathogen: caenacin","cnc-6 is involved in defense response to fungus and innate immune response\; is expressed in the intestine."
"33","WBGene00000593","W01B6.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-2 is predicted to be a structural constituent of cuticle."
"34","WBGene00000594","T28C6.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-3 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"35","WBGene00000599","B0222.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-10 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"36","WBGene00000601","F15H10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-12 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"37","WBGene00000602","F15H10.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-13 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"38","WBGene00000603","C46A5.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-14 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"39","WBGene00000606","F11G11.10","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-17 is enriched in the DA neuron, the VA neuron, the germline precursor cell, and the hypodermis based on tiling array and microarray studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray and RNA-seq studies\; is affected by twenty-one chemicals including hydrogen sulfide, Nitric Oxide, and methylmercury hydroxide based on microarray and RNA-seq studies."
"40","WBGene00000612","C15A11.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-35 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"41","WBGene00000614","ZK863.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-37 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"42","WBGene00000616","C09G5.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-39 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"43","WBGene00000617","T13B5.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-40 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"44","WBGene00000618","T10B10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-41 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hypodermis and the vulval precursor cell."
"45","WBGene00000620","ZC513.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-43 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle\; is expressed in the hypodermis."
"46","WBGene00000621","F54B11.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-44 is predicted to be a structural constituent of cuticle."
"47","WBGene00000622","F53G12.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-45 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"48","WBGene00000627","T28F2.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-50 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"49","WBGene00000628","T28F2.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-51 is predicted to be a structural constituent of cuticle."
"50","WBGene00000631","F33D11.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-54 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"51","WBGene00000634","F26B1.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-58 is an ortholog of human COL16A1 (collagen type XVI alpha 1 chain) and COLQ\; is predicted to be a structural constituent of cuticle."
"52","WBGene00000641","K08C9.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-65 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"53","WBGene00000648","W09G10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-72 is an ortholog of human OTOL1, C1QTNF7 (C1q and TNF related 7), and C1QTNF9 (C1q and TNF related 9)\; human C1QTNF9 exhibits identical protein binding activity."
"54","WBGene00000649","F11G11.12","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-73 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"55","WBGene00000653","M195.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-77 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
