"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000039","C42D8.5","Development","Development: somatic","Development: somatic","acn-1 is an ortholog of human ACE2\; is predicted to have metallopeptidase activity and peptidyl-dipeptidase activity\; is involved in ecdysis, collagen and cuticulin-based cuticle, nematode male tail tip morphogenesis, and plasma membrane fusion\; is expressed in the epithelial system, the excretory gland cell, the male, and the vulva\; human orthologs of this gene are implicated in Alzheimer's disease."
"2","WBGene00000114","F13D12.4","Metabolism","Metabolism: lipid","Metabolism: lipid: unassigned","alh-8 is an ortholog of human ALDH6A1 (aldehyde dehydrogenase 6 A1)\; is predicted to have fatty-acyl-CoA binding activity, malonate-semialdehyde dehydrogenase (acetylating) activity, and methylmalonate-semialdehyde dehydrogenase (acylating) activity\; localizes to the mitochondrion."
"3","WBGene00000228","W04D2.1","Cytoskeleton","Cytoskeleton: actin function","Cytoskeleton: actin function: actin","atn-1 is an ortholog of human ACTN1 (actinin alpha 1), ACTN4 (actinin alpha 4), and ACTN3 (actinin alpha 3 (gene\/pseudogene))\; is predicted to have actin binding activity\; localizes to the striated muscle dense body and striated muscle thin filament\; is expressed in several tissues, including the body wall, the muscular system, the pharynx, the reproductive system, and the tail\; human orthologs of this gene are implicated in dilated cardiomyopathy 1AA, focal segmental glomerulosclerosis 1, and platelet-type bleeding disorder 15."
"4","WBGene00000255","F45G2.5","Extracellular material","Extracellular material: PGI","Extracellular material: PGI","bli-5 exhibits serine-type endopeptidase activity\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle, protein catabolic process, and vulval development\; is expressed in the excretory cell, the excretory duct, and the vulva."
"5","WBGene00000603","C46A5.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-14 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"6","WBGene00000610","F36A4.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-33 is predicted to be a structural constituent of cuticle."
"7","WBGene00000611","F36A4.10","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-34 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"8","WBGene00000614","ZK863.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-37 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"9","WBGene00000617","T13B5.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-40 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"10","WBGene00000621","F54B11.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-44 is predicted to be a structural constituent of cuticle."
